feature,i,score
plv_alpha_Fp1,0,0.532345068137573
plv_alpha_Fp1,1,0.49323092089049536
plv_alpha_Fp1,2,0.4712952509972153
plv_alpha_Fp1,3,0.5079675656619073
plv_alpha_Fp1,4,0.4549982509036998
plv_alpha_Fp1,5,0.5041112097012718
plv_alpha_Fp1,6,0.5013888888888889
plv_alpha_Fp1,7,0.4980403780917564
plv_alpha_Fp1,8,0.4928121709607409
plv_alpha_Fp1,9,0.5025105708245243
plv_alpha_AF3,0,0.49772874756651525
plv_alpha_AF3,1,0.5118048139324736
plv_alpha_AF3,2,0.49820877549484455
plv_alpha_AF3,3,0.49911863211704566
plv_alpha_AF3,4,0.49678499441954993
plv_alpha_AF3,5,0.5045400769003253
plv_alpha_AF3,6,0.507235142118863
plv_alpha_AF3,7,0.4942281724467279
plv_alpha_AF3,8,0.49654038721877214
plv_alpha_AF3,9,0.5110112755461593
plv_alpha_F7,0,0.5013181375730046
plv_alpha_F7,1,0.49969604863221884
plv_alpha_F7,2,0.4964551817566042
plv_alpha_F7,3,0.5130178036312356
plv_alpha_F7,4,0.504364411720611
plv_alpha_F7,5,0.4984028393966282
plv_alpha_F7,6,0.4857558139534884
plv_alpha_F7,7,0.4915110496327767
plv_alpha_F7,8,0.49709908245052326
plv_alpha_F7,9,0.505223749119098
plv_alpha_F3,0,0.4870619727449708
plv_alpha_F3,1,0.5211615871190339
plv_alpha_F3,2,0.5167682697373372
plv_alpha_F3,3,0.5211880839062224
plv_alpha_F3,4,0.4858656360880212
plv_alpha_F3,5,0.5050724637681159
plv_alpha_F3,6,0.5018733850129199
plv_alpha_F3,7,0.5029311991568686
plv_alpha_F3,8,0.5093903775490469
plv_alpha_F3,9,0.47598661028893585
plv_alpha_FC1,0,0.5076857560025957
plv_alpha_FC1,1,0.4742955721679126
plv_alpha_FC1,2,0.5334989087077595
plv_alpha_FC1,3,0.5172571831482461
plv_alpha_FC1,4,0.4837167463477203
plv_alpha_FC1,5,0.5008725229222124
plv_alpha_FC1,6,0.5223837209302326
plv_alpha_FC1,7,0.512243520073774
plv_alpha_FC1,8,0.5023314781786535
plv_alpha_FC1,9,0.4962737843551797
plv_alpha_FC5,0,0.47546236210253084
plv_alpha_FC5,1,0.5248500780415675
plv_alpha_FC5,2,0.5000903138405961
plv_alpha_FC5,3,0.49992949056936364
plv_alpha_FC5,4,0.4705818660358815
plv_alpha_FC5,5,0.49242827565808933
plv_alpha_FC5,6,0.5212209302325581
plv_alpha_FC5,7,0.5145160227908968
plv_alpha_FC5,8,0.5149773298665578
plv_alpha_FC5,9,0.5016384778012685
plv_alpha_T7,0,0.5186161583387411
plv_alpha_T7,1,0.509299268873737
plv_alpha_T7,2,0.49139760668322424
plv_alpha_T7,3,0.5054292261589988
plv_alpha_T7,4,0.49006346720860894
plv_alpha_T7,5,0.49717539189588883
plv_alpha_T7,6,0.48853359173126615
plv_alpha_T7,7,0.4843888943780259
plv_alpha_T7,8,0.5007950662913381
plv_alpha_T7,9,0.49857293868921776
plv_alpha_C3,0,0.4533987670343933
plv_alpha_C3,1,0.5120019715764397
plv_alpha_C3,2,0.4894709114171747
plv_alpha_C3,3,0.5149568129737352
plv_alpha_C3,4,0.4871982808882077
plv_alpha_C3,5,0.5116533569949718
plv_alpha_C3,6,0.5135335917312661
plv_alpha_C3,7,0.4886127852978955
plv_alpha_C3,8,0.5039108666222576
plv_alpha_C3,9,0.4773608174770965
plv_alpha_CP1,0,0.5009125567813109
plv_alpha_CP1,1,0.49564610202908077
plv_alpha_CP1,2,0.5029126213592233
plv_alpha_CP1,3,0.5307949938304248
plv_alpha_CP1,4,0.49285369225899955
plv_alpha_CP1,5,0.4831854480922804
plv_alpha_CP1,6,0.4972545219638243
plv_alpha_CP1,7,0.531740934690248
plv_alpha_CP1,8,0.5113458108601757
plv_alpha_CP1,9,0.4909619450317124
plv_alpha_CP5,0,0.5210902011680727
plv_alpha_CP5,1,0.4983077302226238
plv_alpha_CP5,2,0.4820200195679988
plv_alpha_CP5,3,0.5069011105235325
plv_alpha_CP5,4,0.4999250387299895
plv_alpha_CP5,5,0.5199792960662526
plv_alpha_CP5,6,0.5159237726098191
plv_alpha_CP5,7,0.5452030431775516
plv_alpha_CP5,8,0.503943099039474
plv_alpha_CP5,9,0.4772815362931642
plv_alpha_P7,0,0.5137491888384166
plv_alpha_P7,1,0.4778608395629672
plv_alpha_P7,2,0.48375103484609017
plv_alpha_P7,3,0.54613960867266
plv_alpha_P7,4,0.4795439023171362
plv_alpha_P7,5,0.49653948535936115
plv_alpha_P7,6,0.497609819121447
plv_alpha_P7,7,0.5056400882653229
plv_alpha_P7,8,0.5580720716848959
plv_alpha_P7,9,0.4962737843551797
plv_alpha_P3,0,0.5293437702790396
plv_alpha_P3,1,0.4616117637394233
plv_alpha_P3,2,0.4651539098366825
plv_alpha_P3,3,0.5127445795875198
plv_alpha_P3,4,0.5214305941930003
plv_alpha_P3,5,0.49785566400473236
plv_alpha_P3,6,0.49932170542635657
