measure,electrode,coefficient
plv_alpha,Fp1,0.0
plv_alpha,AF3,0.0
plv_alpha,F7,0.0
plv_alpha,F3,-0.0038207444642874124
plv_alpha,FC1,-0.002727257467351367
plv_alpha,FC5,-0.015738217528153887
plv_alpha,T7,0.0009252096528409128
plv_alpha,C3,0.0
plv_alpha,CP1,0.0
plv_alpha,CP5,0.0
plv_alpha,P7,-0.007991453974670288
plv_alpha,P3,0.0
plv_alpha,Pz,0.0
plv_alpha,PO3,0.0
plv_alpha,O1,-0.011231644515440243
plv_alpha,Oz,0.0
plv_alpha,O2,0.0
plv_alpha,PO4,0.0
plv_alpha,P4,-0.014586423152038576
plv_alpha,P8,0.0
plv_alpha,CP6,0.0
plv_alpha,CP2,0.0
plv_alpha,C4,0.0
plv_alpha,T8,-0.03562972506033627
plv_alpha,FC6,0.0
plv_alpha,FC2,0.0
plv_alpha,F4,0.0
plv_alpha,F8,0.0
plv_alpha,AF4,0.0
plv_alpha,Fp2,0.0
plv_alpha,Fz,0.0
plv_alpha,Cz,0.0
plv_theta,Fp1,0.0
plv_theta,AF3,0.0
plv_theta,F7,0.0
plv_theta,F3,-0.007017322551347703
plv_theta,FC1,-0.006334496649142459
plv_theta,FC5,0.0
plv_theta,T7,0.028957367310440064
plv_theta,C3,0.0
plv_theta,CP1,0.013703553612727784
plv_theta,CP5,-0.020566349804808256
plv_theta,P7,0.0292253283609782
plv_theta,P3,0.0
plv_theta,Pz,0.012661050957778908
plv_theta,PO3,0.009145131162875178
plv_theta,O1,0.0
plv_theta,Oz,0.0
plv_theta,O2,-0.03394423629462865
plv_theta,PO4,-0.009426487933132777
plv_theta,P4,0.0
plv_theta,P8,0.004921497293857492
plv_theta,CP6,0.0
plv_theta,CP2,-0.005956554826068447
plv_theta,C4,-0.030999223067411208
plv_theta,T8,0.0002763760986805421
plv_theta,FC6,0.0
plv_theta,FC2,-0.001573852940818124
plv_theta,F4,0.0
plv_theta,F8,0.0
plv_theta,AF4,0.0
plv_theta,Fp2,-0.035906211902669904
plv_theta,Fz,0.0
plv_theta,Cz,0.0
ccorr_alpha,Fp1,0.0
ccorr_alpha,AF3,-0.027138876041156102
ccorr_alpha,F7,0.0
ccorr_alpha,F3,0.0
ccorr_alpha,FC1,0.0
ccorr_alpha,FC5,0.0
ccorr_alpha,T7,0.0
ccorr_alpha,C3,-0.04413970433834661
ccorr_alpha,CP1,0.06329579781351792
ccorr_alpha,CP5,0.0
ccorr_alpha,P7,0.0
ccorr_alpha,P3,-0.006984302385475395
ccorr_alpha,Pz,-0.031134609298695926
ccorr_alpha,PO3,-0.011619472458435766
ccorr_alpha,O1,-0.0075119983506586035
ccorr_alpha,Oz,0.0
ccorr_alpha,O2,0.0
ccorr_alpha,PO4,0.0
ccorr_alpha,P4,0.0
ccorr_alpha,P8,-0.009345298496683675
ccorr_alpha,CP6,0.006861015631148373
ccorr_alpha,CP2,0.0
ccorr_alpha,C4,-0.023456721586321783
ccorr_alpha,T8,-0.0036210931762003223
ccorr_alpha,FC6,0.0
ccorr_alpha,FC2,0.0
ccorr_alpha,F4,0.0
ccorr_alpha,F8,0.0
ccorr_alpha,AF4,0.0
ccorr_alpha,Fp2,0.0401894651254809
ccorr_alpha,Fz,0.0
ccorr_alpha,Cz,0.0
ccorr_theta,Fp1,0.0
ccorr_theta,AF3,-0.007853090423452861
ccorr_theta,F7,0.0
ccorr_theta,F3,0.0
ccorr_theta,FC1,0.0
ccorr_theta,FC5,0.0
ccorr_theta,T7,0.0
ccorr_theta,C3,0.004181667402785257
ccorr_theta,CP1,-0.012475327931592155
ccorr_theta,CP5,0.0
ccorr_theta,P7,0.0
ccorr_theta,P3,0.016763556572931815
ccorr_theta,Pz,0.027585923033901276
ccorr_theta,PO3,0.0
ccorr_theta,O1,0.0
ccorr_theta,Oz,0.0
ccorr_theta,O2,0.0
ccorr_theta,PO4,0.0
ccorr_theta,P4,0.0
ccorr_theta,P8,0.0
ccorr_theta,CP6,0.009693132925550836
ccorr_theta,CP2,0.017204388039587157
ccorr_theta,C4,0.06021279197994629
ccorr_theta,T8,0.0
ccorr_theta,FC6,-0.001911409211388577
ccorr_theta,FC2,-0.00161411635936916
ccorr_theta,F4,0.0016405428667665652
ccorr_theta,F8,-0.003124542392371603
ccorr_theta,AF4,-0.011761269296927427
ccorr_theta,Fp2,0.0
ccorr_theta,Fz,0.0
ccorr_theta,Cz,0.0
imagcoh_alpha,Fp1,0.0
imagcoh_alpha,AF3,0.0
imagcoh_alpha,F7,0.007470172092398454
imagcoh_alpha,F3,0.0
imagcoh_alpha,FC1,0.0
imagcoh_alpha,FC5,0.0
imagcoh_alpha,T7,0.0
imagcoh_alpha,C3,0.0
imagcoh_alpha,CP1,0.0
imagcoh_alpha,CP5,-0.0018924850887486581
imagcoh_alpha,P7,0.0
imagcoh_alpha,P3,0.0
imagcoh_alpha,Pz,0.0
imagcoh_alpha,PO3,0.0
imagcoh_alpha,O1,0.0
imagcoh_alpha,Oz,0.0
imagcoh_alpha,O2,-0.019971399185256145
imagcoh_alpha,PO4,0.0
imagcoh_alpha,P4,0.0
imagcoh_alpha,P8,0.0
imagcoh_alpha,CP6,0.0
imagcoh_alpha,CP2,0.001634342528609982
imagcoh_alpha,C4,0.0
imagcoh_alpha,T8,0.0
imagcoh_alpha,FC6,0.0
imagcoh_alpha,FC2,0.0
imagcoh_alpha,F4,0.0
imagcoh_alpha,F8,0.0
imagcoh_alpha,AF4,0.004726648855644498
imagcoh_alpha,Fp2,0.0
imagcoh_alpha,Fz,0.0
imagcoh_alpha,Cz,0.0
imagcoh_theta,Fp1,0.0
imagcoh_theta,AF3,0.0
imagcoh_theta,F7,0.0
imagcoh_theta,F3,0.0
imagcoh_theta,FC1,0.002996428883405024
imagcoh_theta,FC5,0.020259755130940017
imagcoh_theta,T7,0.01360366931051072
imagcoh_theta,C3,0.0
imagcoh_theta,CP1,0.0
imagcoh_theta,CP5,0.0
imagcoh_theta,P7,0.0
imagcoh_theta,P3,0.0
imagcoh_theta,Pz,0.006154716648323159
imagcoh_theta,PO3,0.0
imagcoh_theta,O1,-0.010090299946719703
imagcoh_theta,Oz,0.0
imagcoh_theta,O2,0.0
imagcoh_theta,PO4,0.0
imagcoh_theta,P4,0.0
imagcoh_theta,P8,0.0
imagcoh_theta,CP6,0.0
imagcoh_theta,CP2,0.0
imagcoh_theta,C4,0.0
imagcoh_theta,T8,0.001963771030579181
imagcoh_theta,FC6,0.0
imagcoh_theta,FC2,0.0
imagcoh_theta,F4,0.0
imagcoh_theta,F8,0.0
imagcoh_theta,AF4,0.0
imagcoh_theta,Fp2,0.0
imagcoh_theta,Fz,0.005838229216759533
imagcoh_theta,Cz,0.0
p3subj1,Fp1,-0.013993591695471756
p3subj1,AF3,0.0
p3subj1,F7,0.0
p3subj1,F3,0.0
p3subj1,FC1,0.0
p3subj1,FC5,-0.005437487217784961
p3subj1,T7,-0.10202012313982933
p3subj1,C3,0.0
p3subj1,CP1,-0.0013633796217987384
p3subj1,CP5,-0.021146953984033014
p3subj1,P7,0.0
p3subj1,P3,0.0
p3subj1,Pz,0.0
p3subj1,PO3,0.0
p3subj1,O1,0.0
p3subj1,Oz,0.0
p3subj1,O2,-0.02596062854308946
p3subj1,PO4,0.0
p3subj1,P4,0.060502664819691396
p3subj1,P8,0.0
p3subj1,CP6,0.0
p3subj1,CP2,0.0
p3subj1,C4,0.0
p3subj1,T8,0.0
p3subj1,FC6,-0.03452845606570328
p3subj1,FC2,0.0
p3subj1,F4,0.0
p3subj1,F8,0.0
p3subj1,AF4,0.0
p3subj1,Fp2,0.1076558536108459
p3subj1,Fz,0.0
p3subj1,Cz,0.0
p3subj2,Fp1,-0.06586622838601933
